Distance from Melbourne city center(km),Population size range
0 km,174499
2 km,95254
3 km,102905
4 km,64481
8 km,95526
8 km,53944
7 km,42937
6 km,92062
10 km,142350
10 km,69410
10 km,177400
10 km,85720
15 km,87008
15 km,109757
15 km,100071
15 km,102177
15 km,105539
16 km,129348
20 km,26483
20 km,124026
20 km,228996
20 km,44873
20 km,195908
20 km,63485
20 km,198220
25 km,345080
25 km,118422
25 km,183901
30 km,224577
35 km,291458
35 km,168966
40 km,141078
40 km,46293
40 km,64448
45 km,246047
45 km,359267
100 km,30788
110 km,113220
110 km,50913
120 km,59386
120 km,54316
150 km,77521
150 km,108818
150 km,35443
180 km,35162
180 km,38503
180 km,68633
170 km,26778
230 km,48494
220 km,41677
200 km,63665
75 km,219950
90 km,99388
60 km,33651
50 km,114268
250 km,61660
260 km,53027
280 km,48044
300 km,74894
340 km,37974
340 km,36489
240 km,30571
540 km,67116
