Local Government Areas ,Distance from Melbourne city center(km),Population size range
Melbourne City,0,174499
Yarra,2,95254
Port Phillip,3,102905
Stonnington - West,4,64481
Maribyrnong,8,95526
Darebin - South,8,53944
Stonnington - East,7,42937
Brunswick - Coburg,6,92062
Glen Eira,10,142350
Essendon,10,69410
Boroondara,10,177400
Moreland - North,10,85720
Hobsons Bay,15,87008
Whitehorse - West,15,109757
Manningham - West,15,100071
Bayside,15,102177
Darebin - North,15,105539
Banyule,16,129348
Manningham - East,20,26483
Kingston,20,124026
Tullamarine - Broadmeadows,20,228996
Keilor,20,44873
Brimbank,20,195908
Whitehorse - East,20,63485
Monash,20,198220
Wyndham,25,345080
Maroondah,25,118422
Knox,25,183901
Dandenong,30,224577
Whittlesea - Wallan,35,291458
Yarra Ranges,35,168966
Frankston,40,141078
Sunbury,40,46293
Nillumbik - Kinglake,40,64448
Melton - Bacchus Marsh,45,246047
Casey - North,45,359267
Creswick - Daylesford - Ballan,100,30788
Ballarat,110,113220
Heathcote - Castlemaine - Kyneton,110,50913
Baw Baw,120,59386
Upper Goulburn Valley,120,54316
Latrobe Valley,150,77521
Bendigo,150,108818
Colac - Corangamite,150,35443
Loddon - Elmore,180,35162
Campaspe,180,38503
Shepparton,180,68633
Maryborough - Pyrenees,170,26778
Wangaratta - Benalla,230,48494
Wellington,220,41677
Gippsland - South West,200,63665
Geelong,75,219950
Surf Coast - Bellarine Peninsula,90,99388
Macedon Ranges,60,33651
Cardinia,50,114268
Grampians,250,61660
Warrnambool,260,53027
Gippsland - East,280,48044
Wodonga - Alpine,300,74894
Murray River - Swan Hill,340,37974
Glenelg - Southern Grampians,340,36489
Moira,240,30571
Mildura,540,67116
