Local Government Areas ,Total Criminal Incidents
Melbourne City,13712
Port Phillip,9158
Yarra,8703
Brunswick - Coburg,8700
Darebin - South & Darebin - North,9079
Stonnington - West & Stonnington - East,7882
Boroondara,5453
Manningham - West & Manningham - East,2768
Essendon,6004
Moreland - North,8700
Whitehorse - West & Whitehorse - East,5428
Maribyrnong,6838
Bayside,3487
Glen Eira,5127
Kingston,6988
Banyule,5186
Whittlesea - Wallan,8638
Keilor,11848
Tullamarine - Broadmeadows,11781
Brimbank,11848
Hobsons Bay,4772
Knox,6406
Maroondah,4969
Yarra Ranges,4903
Cardinia,4513
Casey - North,13816
Dandenong,11322
Monash,8387
Melton - Bacchus Marsh,8622
Wyndham,12124
Frankston,8309
Mornington Peninsula,6572
Sunbury,11781
Geelong,14652
Surf Coast - Bellarine Peninsula,968
